index,Date,TransactionCount
1,1012016,2093576
2,2012016,2397260
3,3012016,2173039
4,4012016,2051240
5,5012016,1954117
6,6012016,1923592
7,7012016,1927622
8,8012016,2074300
9,9012016,2121106
10,10012016,1802039
11,11012016,1709355
12,12012016,1638711
13,13012016,1652227
14,14012016,1784627
15,15012016,1918398
16,16012016,2007955
17,17012016,1649394
18,18012016,1530006
19,19012016,1597315
20,20012016,1493587
21,21012016,1696018
22,22012016,1784112
23,23012016,1908191
24,24012016,1447465
25,25012016,1385758
26,26012016,1594460
27,27012016,2090539
28,28012016,1967319
29,29012016,2329188
30,30012016,1868690
31,31012016,1888183
32,1022016,2075914
33,2022016,2086660
34,3022016,1798252
35,4022016,1808490
36,5022016,2063255
37,6022016,2042569
38,7022016,1666455
39,8022016,1541438
40,9022016,1681686
41,10022016,1732544
42,11022016,1817219
43,12022016,2081664
44,13022016,2208578
45,14022016,1764560
46,15022016,1441901
47,16022016,1470952
48,17022016,1667129
49,18022016,1752372
50,19022016,1652161
51,20022016,1599688
52,21022016,1373908
53,22022016,1303502
54,23022016,1496444
55,24022016,1494816
56,25022016,1396107
57,26022016,1691293
58,27022016,1700436
59,28022016,1427942
60,29022016,1583824
61,1032016,1479290
62,2032016,1397803
63,3032016,1483549
64,4032016,1645863
65,5032016,1717242
66,6032016,1541863
67,7032016,1345921
68,8032016,1513934
69,9032016,1441463
70,10032016,1424287
71,11032016,1602529
72,12032016,1623737
73,13032016,1341864
74,14032016,1333730
75,15032016,1388455
76,16032016,1550138
77,17032016,1526717
78,18032016,1689381
79,19032016,1885958
80,20032016,1527828
81,21032016,1481274
82,22032016,1846231
83,23032016,1591409
84,24032016,1700688
85,25032016,2140235
86,26032016,2529880
87,27032016,1328107
88,28032016,1246581
89,29032016,1570505
90,30032016,1410158
91,31032016,1582026
92,1042016,1752821
93,2042016,1899301
94,3042016,1319836
95,4042016,1287339
96,5042016,1300484
97,6042016,1302536
98,7042016,1337614
99,8042016,1492684
100,9042016,1666876
101,10042016,1269268
102,11042016,1294169
103,12042016,1276353
104,13042016,1365071
105,14042016,1478586
106,15042016,1842494
107,16042016,1670737
108,17042016,1409191
109,18042016,1397798
110,19042016,1360191
111,20042016,1787397
112,21042016,1589626
113,22042016,1653731
114,23042016,1605099
115,24042016,1351226
116,25042016,1397600
117,26042016,1541887
118,27042016,1624509
119,28042016,1535193
120,29042016,1787627
121,30042016,2035916
122,1052016,1609502
123,2052016,1542382
124,3052016,1619172
125,4052016,1610284
126,5052016,1714066
127,6052016,2085826
128,7052016,2562039
129,8052016,2085032
130,9052016,1326111
131,10052016,1423710
132,11052016,1439665
133,12052016,1387617
134,13052016,1665222
135,14052016,1741464
136,15052016,1362227
137,16052016,1294324
138,17052016,1403213
139,18052016,1394817
140,19052016,1525235
141,20052016,1672764
142,21052016,1702579
143,22052016,1456238
144,23052016,1369106
145,24052016,1444969
146,25052016,1593407
147,26052016,1641504
148,27052016,2103649
149,28052016,1652568
150,29052016,1345461
151,30052016,1264411
152,31052016,1560269
153,1062016,2246688
154,2062016,1570528
155,3062016,1810228
156,4062016,1746571
157,5062016,1434695
158,6062016,1392410
159,7062016,1532501
160,8062016,1512180
161,9062016,2237859
162,10062016,1698522
163,11062016,1843159
164,12062016,1355083
165,13062016,1345872
166,14062016,1862570
167,15062016,1698482
168,16062016,1910828
169,17062016,2133614
170,18062016,2545883
171,19062016,2189728
172,20062016,1373667
173,21062016,1395981
174,22062016,1466732
175,23062016,1449440
176,24062016,1660640
177,25062016,1568796
178,26062016,1298305
179,27062016,1346798
180,28062016,1426573
181,29062016,1647320
182,30062016,1629390
183,1072016,1646369
184,2072016,1443100
185,3072016,1204853
186,4072016,1061345
187,5072016,1233988
188,6072016,1287527
189,7072016,1390824
190,8072016,1522846
191,9072016,1524478
192,10072016,1281036
193,11072016,1250963
194,12072016,1516811
195,13072016,1387888
196,14072016,1346327
197,15072016,1592460
198,16072016,1494192
199,17072016,1229133
200,18072016,1296245
201,19072016,1364281
202,20072016,1520172
203,21072016,1481198
204,22072016,1720594
205,23072016,1630022
206,24072016,1394459
207,25072016,1331170
208,26072016,1369399
209,27072016,1950432
210,28072016,1416690
211,29072016,1756226
212,30072016,1616364
213,31072016,1455015
214,1082016,1439245
215,2082016,1477628
216,3082016,1518125
217,4082016,1424051
218,5082016,1713080
219,6082016,1559225
220,7082016,1353178
221,8082016,1361192
222,9082016,1463543
223,10082016,1512116
224,11082016,1695352
225,12082016,1668196
226,13082016,1640048
227,14082016,1380614
228,15082016,1367337
229,16082016,1397397
230,17082016,1687428
231,18082016,1352016
232,19082016,1586679
233,20082016,1519851
234,21082016,1290316
235,22082016,1332447
236,23082016,1355903
237,24082016,1438491
238,25082016,1794726
239,26082016,1760818
240,27082016,1652679
241,28082016,1355050
242,29082016,1450263
243,30082016,1507889
244,31082016,1553828
245,1092016,1526269
246,2092016,1617901
247,3092016,1607859
248,4092016,1362162
249,5092016,1222718
250,6092016,1335856
251,7092016,1458853
252,8092016,1465661
253,9092016,1564222
254,10092016,1694964
255,11092016,1258860
256,12092016,1242693
257,13092016,1312428
258,14092016,1392652
259,15092016,1477626
260,16092016,1584186
261,17092016,1542276
262,18092016,1330794
263,19092016,1319885
264,20092016,1493538
265,21092016,1516258
266,22092016,1362380
267,23092016,1657562
268,24092016,1610955
269,25092016,1341259
270,26092016,1214406
271,27092016,1322529
272,28092016,1419307
273,29092016,1676190
274,30092016,1865440
275,1102016,1638367
276,2102016,1271226
277,3102016,1280761
278,4102016,1242075
279,5102016,1280331
280,6102016,1384854
281,7102016,1469471
282,8102016,1479429
283,9102016,1285386
284,10102016,1204635
285,11102016,1258031
286,12102016,1448566
287,13102016,1478440
288,14102016,1760523
289,15102016,1637830
290,16102016,1295185
291,17102016,1315435
292,18102016,1304420
293,19102016,1329205
294,20102016,1495061
295,21102016,1754892
296,22102016,1645212
297,23102016,1377580
298,24102016,1295873
299,25102016,1398937
300,26102016,1451868
301,27102016,1387983
302,28102016,1581842
303,29102016,1554436
304,30102016,1340643
305,31102016,1474876
306,1112016,1521787
307,2112016,1361520
308,3112016,1468120
309,4112016,1665392
310,5112016,1558896
311,6112016,1445474
312,7112016,1289880
313,8112016,1385375
314,9112016,1454412
315,10112016,1603282
316,11112016,1746878
317,12112016,1781566
318,13112016,1542977
319,14112016,1468821
320,15112016,1512788
321,16112016,1702897
322,17112016,1673007
323,18112016,1871987
324,19112016,1920649
325,20112016,1604364
326,21112016,1800266
327,22112016,1966289
328,23112016,2429359
329,24112016,1528699
330,25112016,2412536
331,26112016,2141279
332,27112016,1907013
333,28112016,2059107
334,29112016,2067494
335,30112016,2282000
336,1122016,2330767
337,2122016,2571056
338,3122016,2766622
339,4122016,2391303
340,5122016,2552559
341,6122016,2672209
342,7122016,2912001
343,8122016,2998716
344,9122016,3669570
345,10122016,4380284
346,11122016,3127329
347,12122016,3390802
348,13122016,3725434
349,14122016,4597319
350,15122016,4554696
351,16122016,5277314
352,17122016,5389438
353,18122016,4904273
354,19122016,5872888
355,20122016,6380584
356,21122016,6996039
357,22122016,8295627
358,23122016,11257897
359,24122016,9818129
360,25122016,2045569
361,26122016,3176649
362,27122016,3267285
363,28122016,3156262
364,29122016,3010110
365,30122016,3261470
366,31122016,3050193
367,1012017,2002787
368,2012017,2308711
369,3012017,2274992
370,4012017,2018019
371,5012017,2057712
372,6012017,2114769
373,7012017,2070229
374,8012017,1780947
375,9012017,1664268
376,10012017,1743149
377,11012017,1808687
378,12012017,1957351
379,13012017,2080456
380,14012017,2009118
381,15012017,1641312
382,16012017,1672306
383,17012017,1604584
384,18012017,1705323
385,19012017,1724448
386,20012017,1855218
387,21012017,2021698
388,22012017,2228767
389,23012017,1408754
390,24012017,1768059
391,25012017,1671512
392,26012017,1687973
393,27012017,2305131
394,28012017,2387119
395,29012017,1701264
396,30012017,1723394
397,31012017,1742152
398,1022017,1742426
399,2022017,1791946
400,3022017,2041936
401,4022017,2031259
402,5022017,1524177
403,6022017,1425011
404,7022017,1491208
405,8022017,1658092
406,9022017,1743872
407,10022017,1889596
408,11022017,1984017
409,12022017,1650457
410,13022017,2026339
411,14022017,2220226
412,15022017,1594549
413,16022017,1600193
414,17022017,1758162
415,18022017,1708618
416,19022017,1461351
417,20022017,1438065
418,21022017,1505961
419,22022017,1619468
420,23022017,1719976
421,24022017,1898103
422,25022017,1826230
423,26022017,1572527
424,27022017,1490879
425,28022017,1674999
426,1032017,1602804
427,2032017,1601786
428,3032017,1809479
429,4032017,1816641
430,5032017,1526739
431,6032017,1493739
432,7032017,1525707
433,8032017,1575561
434,9032017,1597547
435,10032017,1736775
436,11032017,1746730
437,12032017,1424766
438,13032017,1448590
439,14032017,1468068
440,15032017,1525569
441,16032017,1675707
442,17032017,1860093
443,18032017,1905297
444,19032017,1653951
445,20032017,1538136
446,21032017,2088114
447,22032017,1636094
448,23032017,1714770
449,24032017,1590778
450,25032017,1628568
451,26032017,1216615
452,27032017,1334073
453,28032017,1385728
454,29032017,1411686
455,30032017,2815591
456,31032017,1980385
457,1042017,1921986
458,2042017,1441786
459,3042017,1471163
460,4042017,1550333
461,5042017,1524122
462,6042017,1508472
463,7042017,1853093
464,8042017,1788749
465,9042017,1527098
466,10042017,1601050
467,11042017,1768053
468,12042017,1830557
469,13042017,1977431
470,14042017,2324026
471,15042017,2764087
472,16042017,1377024
473,17042017,1476080
474,18042017,1554863
475,19042017,1568617
476,20042017,1512611
477,21042017,1674494
478,22042017,1666593
479,23042017,1405002
480,24042017,1446019
481,25042017,1510670
482,26042017,1689118
483,27042017,1577931
484,28042017,1876603
485,29042017,1877399
486,30042017,1740825
487,1052017,1722103
488,2052017,1679332
489,3052017,1628938
490,4052017,1751246
491,5052017,1808555
492,6052017,1812799
493,7052017,1503428
494,8052017,1621826
495,9052017,1683205
496,10052017,1814755
497,11052017,1766822
498,12052017,2221012
499,13052017,2767463
500,14052017,2158503
501,15052017,1522757
502,16052017,1590406
503,17052017,1567140
504,18052017,1639236
505,19052017,1833110
506,20052017,1822514
507,21052017,1525304
508,22052017,1533654
509,23052017,1590099
510,24052017,1632037
511,25052017,1699570
512,26052017,1991849
513,27052017,1822191
514,28052017,1487168
515,29052017,1373224
516,30052017,1670256
517,31052017,1947104
518,1062017,1804447
519,2062017,1875480
520,3062017,1792616
521,4062017,1455776
522,5062017,1564751
523,6062017,1585419
524,7062017,1627447
525,8062017,1782617
526,9062017,1897669
527,10062017,1799369
528,11062017,1400142
529,12062017,1664072
530,13062017,1668433
531,14062017,1647234
532,15062017,2504202
533,16062017,2282503
534,17062017,2601096
535,18062017,2200782
536,19062017,1708708
537,20062017,1686319
538,21062017,1751215
539,22062017,1780734
540,23062017,1927060
541,24062017,1805023
542,25062017,1555851
543,26062017,1664852
544,27062017,1617899
545,28062017,1769231
546,29062017,1839294
547,30062017,2192059
548,1072017,1634207
549,2072017,1717437
550,3072017,1634355
551,4072017,1295859
552,5072017,1581677
553,6072017,1613513
554,7072017,1842891
555,8072017,1729060
556,9072017,1388589
557,10072017,1655111
558,11072017,1695832
559,12072017,1673883
560,13072017,1636448
561,14072017,2110981
562,15072017,1898052
563,16072017,1529343
564,17072017,1677393
565,18072017,1647352
566,19072017,1700213
567,20072017,1792765
568,21072017,1836886
569,22072017,1848066
570,23072017,1557686
571,24072017,1614018
572,25072017,1797161
573,26072017,1864048
574,27072017,1767888
575,28072017,1939838
576,29072017,1909815
577,30072017,1608845
578,31072017,1837609
579,1082017,1825430
580,2082017,1772239
581,3082017,1853306
582,4082017,2071471
583,5082017,1940574
584,6082017,1615426
585,7082017,1754628
586,8082017,1699004
587,9082017,1758079
588,10082017,1942911
589,11082017,2101398
590,12082017,1989030
591,13082017,1780209
592,14082017,1696525
593,15082017,1851768
594,16082017,1839487
595,17082017,1829777
596,18082017,1957231
597,19082017,1854131
598,20082017,1568931
599,21082017,1619567
600,22082017,1599563
601,23082017,1940716
602,24082017,1849238
603,25082017,2056049
604,26082017,1948647
605,27082017,1694814
606,28082017,1603649
607,29082017,1606345
608,30082017,1762836
609,31082017,1893422
610,1092017,2229399
611,2092017,2141006
612,3092017,1779900
613,4092017,1504298
614,5092017,1806114
615,6092017,1690604
616,7092017,1679227
617,8092017,2059410
618,9092017,1824455
619,10092017,1428964
620,11092017,1522910
621,12092017,1574645
622,13092017,1798405
623,14092017,1959901
624,15092017,1954621
625,16092017,1979443
626,17092017,1636454
627,18092017,1752275
628,19092017,1618578
629,20092017,1767174
630,21092017,1949287
631,22092017,2102136
632,23092017,2054037
633,24092017,1787441
634,25092017,1692608
635,26092017,1697756
636,27092017,1981430
637,28092017,2013012
638,29092017,2136228
639,30092017,2287976
640,1102017,1718088
641,2102017,1680341
642,3102017,1755134
643,4102017,1826578
644,5102017,1892557
645,6102017,2058316
646,7102017,1992808
647,8102017,1745658
648,9102017,1626497
649,10102017,1657810
650,11102017,1815908
651,12102017,1771832
652,13102017,2084727
653,14102017,1970992
654,15102017,1714467
655,16102017,1783753
656,17102017,1736325
657,18102017,1754005
658,19102017,1845266
659,20102017,2134384
660,21102017,2078227
661,22102017,1717857
662,23102017,1738320
663,24102017,1806712
664,25102017,1816425
665,26102017,1892397
666,27102017,2256420
667,28102017,2106344
668,29102017,1788883
669,30102017,1822517
670,31102017,2012353
671,1112017,2045848
672,2112017,2161715
673,3112017,2209411
674,4112017,2051273
675,5112017,1815145
676,6112017,1987002
677,7112017,1837435
678,8112017,1877066
679,9112017,1964680
680,10112017,2295768
681,11112017,2112173
682,12112017,1691722
683,13112017,1887678
684,14112017,1901697
685,15112017,2003623
686,16112017,2396021
687,17112017,2386231
688,18112017,2298580
689,19112017,1991163
690,20112017,2384256
691,21112017,2541209
692,22112017,2788796
693,23112017,2004183
694,24112017,3463104
695,25112017,2786075
696,26112017,2333476
697,27112017,2806269
698,28112017,2712915
699,29112017,2792641
700,30112017,2968003
701,1122017,3360352
702,2122017,3331445
703,3122017,2899443
